Year,Quantity(Tonnes),Value(Crore),US Dollar($:Million), Unit value(Rs./Tonnes),Unit value Index,Annual growth rate (%)(Quantity),Annual growth rate (%)(Value)
2010-11,813090.85,12901.47,2856.92,158671.89,6367.92,19.85,28.39
2011-12,862021.41,16597.23,3508.45,192538.46,7727.08,6.02,28.65
2012-13,928214.67,18856.26,3511.67,203145.42,8152.76,7.68,13.61
2013-14,983755.56,30213.26,5007.70,307121.60,12325.60,5.98,60.23
2014-15,1051243.49,33441.61,5511.12,318114.75,12766.79,6.86,10.69
2015-16,945891.90,30420.83,4687.94,321609.99,12907.06,-10.02,-9.03
2016-17,1134948.09,37870.90,5777.61,333679.62,13391.45,19.99,24.49
2017-18,1377243.70,45106.89,7081.55,327515.69,13144.07,21.35,19.11
2018-19,1392558.89,46589.37,6728.50,334559.46,13426.76,1.11,3.29
2019-20,1289650.90,46662.85,6678.69,361825.42,14521.01,-7.39,0.16
