States or Union Territories,Inland - 2015-16,Marine - 2015-16,Inland - 2016-17,Marine - 2016-17,Inland - 2017-18,Marine - 2017-18,Inland - 2018-19,Marine - 2018-19,Inland - 2019-20,Marine - 2019-20
Andhra Pradesh,18.32,5.2,21.86,5.8,28.45,6.05,33.91,6,36.1,5.64
Arunachal Pradesh,0.04,0,0.04,0,0.04,0,0.05,0,0.05,0
Assam,2.94,0,3.07,0,3.27,0,3.31,0,3.73,0
Bihar,5.07,0,5.09,0,5.88,0,6.02,0,6.41,0
Chhattisgarh,3.42,0,3.77,0,4.57,0,4.89,0,5.72,0
Goa,0.05,1.07,0.04,1.14,0.06,1.18,0.05,1.15,0.04,1.01
Gujarat,1.12,6.97,1.17,6.99,1.38,7.01,1.42,6.99,1.58,7.01
Haryana,1.21,0,1.44,0,1.9,0,1.8,0,1.91,0
Himachal Pradesh,0.12,0,0.13,0,0.13,0,0.13,0,0.14,0
Jharkhand,1.16,0,1.45,0,1.9,0,2.08,0,2.23,0
Karnataka,1.69,4.12,1.59,3.99,1.88,4.14,1.98,3.9,2.29,4.03
Kerala,2.11,5.17,1.61,4.31,1.89,4.84,1.92,6.09,2.05,4.75
Madhya Pradesh,1.15,0,1.39,0,1.43,0,1.73,0,2,0
Maharashtra,1.46,4.34,2,4.63,1.31,4.75,1,4.68,1.18,4.43
Manipur,0.32,0,0.32,0,0.33,0,0.32,0,0.32,0
Meghalaya,0.11,0,0.12,0,0.12,0,0.13,0,0.14,0
Mizoram,0.07,0,0.08,0,0.08,0,0.07,0,0.07,0
Nagaland,0.08,0,0.09,0,0.09,0,0.09,0,0.09,0
Odisha,3.77,1.45,4.55,1.53,5.34,1.51,6,1.59,6.6,1.58
Punjab,1.2,0,1.33,0,1.37,0,1.35,0,1.51,0
Rajasthan,0.42,0,0.5,0,0.54,0,0.55,0,1.16,0
Sikkim,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2.43,4.67,1.97,4.72,1.85,4.97,1.7,5.2,1.74,5.83
Telangana,2.37,0,1.99,0,2.7,0,2.84,0,3,0
Tripura,0.69,0,0.72,0,0.77,0,0.7,0,0.78,0
Uttar Pradesh,5.05,0,6.18,0,6.29,0,6.62,0,6.99,0
Uttarakhand,0.04,0,0.04,0,0.05,0,0.05,0,0.05,0
West Bengal,14.93,1.78,15.25,1.77,15.57,1.85,16.19,1.63,16.19,1.63
Andaman and Nicober Islands,0,0.37,0,0.39,0,0.39,0,0.4,0,0.4
Chandigarh,0,0,0,0,0,0,0.01,0,0.01,0
Delhi,0.01,0,0.01,0,0.01,0,0,0,0.01,0
Jammu & Kashmir,0.2,0,0.2,0,0.21,0,0.21,0,0.21,0
Lakshadweep,0,0.16,0,0.3,0,0.21,0,0.22,0,0.2
Puducherry,0.07,0.47,0.04,0.46,0.07,0.42,0.07,0.4,0.07,0.44
India,71.62,36,78.06,36.25,89.48,37.56,97.2,38.53,104.37,37.27
