Month,2013,2014,2015,2016,2017,2018
January,21.13,22.45,24.76,22.66,14.84,42.69
February,25.55,18.46,24.94,19.62,14.61,35.12
March,21.62,17.22,24.14,17.16,14.52,26.18
April,20.20,17.43,22.01,16.40,14.36,19.28
May,19.10,18.69,22.07,15.68,14.07,16.72
June,21.98,20.82,24.85,15.77,14.56,17.78
July,28.91,28.22,28.61,16.64,15.04,21.02
August,44.88,28.45,44.87,16.60,26.02,21.60
September,55.03,26.86,54.14,15.65,26.58,20.60
October,57.21,25.69,45.04,15.27,30.11,21.41
November,53.94,25.63,36.74,15.97,39.07,22.02
December,33.22,25.33,28.19,15.53,43.44,19.36
