Month,2013,2014,2015,2016,2017,2018
January,14.79,18.12,18.98,15.19,14.66,14.74
February,14.26,15.27,17.53,14.92,13.97,14.56
March,13.59,15.98,15.72,15.32,13.54,15.24
April,14.20,18.08,14.25,16.55,13.64,16.60
May,15.76,20.38,13.79,19.01,13.90,18.74
June,16.81,21.58,15.06,21.24,14.53,20.29
July,17.84,24.19,15.78,22.63,15.34,21.51
August,17.95,26.88,15.75,22.65,15.82,21.60
September,17.49,28.47,15.84,22.10,15.68,21.59
October,18.96,29.29,16.83,21.38,15.91,22.00
November,25.08,29.81,17.68,20.53,16.11,22.05
December,21.47,24.16,16.73,17.10,15.90,19.41
