Month,2013,2014,2015,2016,2017,2018
January,15.99,20.25,23.04,27.99,14.67,22.93
February,15.90,15.68,20.86,19.92,15.62,18.73
March,15.50,15.83,20.42,16.83,16.66,16.86
April,15.90,17.39,20.36,18.84,17.35,15.87
May,21.68,18.42,25.62,26.73,16.86,16.02
June,30.42,18.04,25.63,40.17,21.44,21.43
July,40.53,35.30,28.89,40.67,57.29,28.57
August,32.93,50.17,25.35,29.61,59.91,27.96
September,29.75,36.87,25.29,24.55,40.85,24.48
October,32.53,30.19,28.47,25.37,36.99,23.45
November,43.61,24.00,38.79,21.45,47.12,23.47
December,30.85,23.03,30.57,16.80,36.88,21.76
